"post_id,likes,comments,shares,day_of_week,time_of_day,kpop_member,event_type"
"1,120,15,5,Monday,14,RM,Comeback"
"2,90,10,3,Tuesday,18,Jin,Live Stream"
"3,60,5,2,Wednesday,12,Suga,Regular Update"
"4,150,20,8,Thursday,16,J-Hope,Comeback"
"5,80,8,1,Friday,20,Jimin,Regular Update"
"6,40,4,1,Saturday,10,V,Live Stream"
"7,130,18,6,Sunday,15,Jungkook,Regular Update"
"8,85,9,2,Monday,14,RM,Comeback"
"9,50,6,1,Tuesday,11,Jin,Regular Update"
"10,140,22,7,Wednesday,17,Suga,Live Stream"
"11,95,12,4,Thursday,13,J-Hope,Comeback"
"12,70,8,2,Friday,19,Jimin,Live Stream"
"13,110,16,5,Saturday,14,V,Regular Update"
"14,75,7,1,Sunday,10,Jungkook,Comeback"
"15,30,3,0,Monday,12,RM,Regular Update"
"16,145,23,9,Tuesday,15,Jin,Comeback"
"17,95,10,3,Wednesday,14,Suga,Regular Update"
"18,75,9,2,Thursday,11,J-Hope,Live Stream"
"19,160,18,10,Friday,17,Jimin,Comeback"
"20,85,8,1,Saturday,10,V,Regular Update"
"21,130,15,5,Sunday,14,Jungkook,Live Stream"
"22,120,12,6,Monday,15,RM,Regular Update"
"23,80,7,2,Tuesday,16,Jin,Comeback"
"24,105,14,3,Wednesday,17,Suga,Live Stream"
"25,90,11,4,Thursday,13,J-Hope,Regular Update"
"26,110,16,6,Friday,14,Jimin,Comeback"
"27,75,10,2,Saturday,11,V,Live Stream"
"28,130,18,8,Sunday,15,Jungkook,Regular Update"
"29,100,14,5,Monday,12,RM,Live Stream"
"30,85,9,3,Tuesday,13,Jin,Comeback"
"31,140,19,7,Wednesday,18,Suga,Regular Update"
"32,95,12,4,Thursday,10,J-Hope,Comeback"
"33,120,15,6,Friday,19,Jimin,Live Stream"
"34,70,8,2,Saturday,14,V,Regular Update"
"35,130,17,7,Sunday,16,Jungkook,Live Stream"
"36,105,14,5,Monday,13,RM,Regular Update"
"37,85,9,2,Tuesday,12,Jin,Comeback"
"38,125,16,6,Wednesday,14,Suga,Live Stream"
"39,90,10,3,Thursday,15,J-Hope,Regular Update"
"40,110,18,8,Friday,13,Jimin,Comeback"
"41,75,7,2,Saturday,11,V,Live Stream"
"42,130,19,9,Sunday,16,Jungkook,Regular Update"
"43,115,13,4,Monday,14,RM,Live Stream"
"44,80,9,3,Tuesday,17,Jin,Comeback"
"45,105,15,6,Wednesday,18,Suga,Regular Update"
"46,95,11,5,Thursday,10,J-Hope,Comeback"
"47,120,16,7,Friday,19,Jimin,Live Stream"
"48,70,6,2,Saturday,15,V,Regular Update"
"49,125,18,8,Sunday,13,Jungkook,Live Stream"
"50,100,12,5,Monday,14,RM,Comeback"
"51,90,11,4,Tuesday,15,Jin,Regular Update"
"52,110,16,6,Wednesday,17,Suga,Live Stream"
"53,85,9,3,Thursday,13,J-Hope,Comeback"
"54,125,18,7,Friday,16,Jimin,Regular Update"
"55,75,8,2,Saturday,10,V,Live Stream"
"56,140,20,9,Sunday,18,Jungkook,Comeback"
"57,95,12,4,Monday,14,RM,Regular Update"
"58,80,9,2,Tuesday,12,Jin,Live Stream"
"59,115,17,7,Wednesday,16,Suga,Comeback"
"60,90,11,4,Thursday,14,J-Hope,Regular Update"
"61,130,20,9,Friday,17,Jimin,Live Stream"
"62,70,7,2,Saturday,10,V,Comeback"
"63,125,19,8,Sunday,15,Jungkook,Regular Update"
"64,105,14,5,Monday,13,RM,Live Stream"
"65,85,10,3,Tuesday,18,Jin,Comeback"
"66,110,16,6,Wednesday,17,Suga,Regular Update"
"67,95,12,4,Thursday,14,J-Hope,Live Stream"
"68,120,18,7,Friday,15,Jimin,Comeback"
"69,75,9,2,Saturday,11,V,Regular Update"
"70,130,21,8,Sunday,13,Jungkook,Live Stream"
"71,115,13,5,Monday,14,RM,Comeback"
"72,80,9,3,Tuesday,16,Jin,Regular Update"
"73,105,15,6,Wednesday,17,Suga,Live Stream"
"74,95,11,4,Thursday,12,J-Hope,Comeback"
"75,125,19,9,Friday,18,Jimin,Regular Update"
"76,70,8,2,Saturday,14,V,Live Stream"
"77,140,22,10,Sunday,16,Jungkook,Comeback"
"78,100,14,5,Monday,12,RM,Regular Update"
"79,85,9,3,Tuesday,13,Jin,Live Stream"
"80,115,18,7,Wednesday,15,Suga,Comeback"
"81,90,10,4,Thursday,14,J-Hope,Regular Update"
"82,125,20,9,Friday,17,Jimin,Live Stream"
"83,75,8,2,Saturday,10,V,Comeback"
"84,130,21,8,Sunday,13,Jungkook,Regular Update"
"85,105,15,5,Monday,16,RM,Live Stream"
"86,80,9,3,Tuesday,14,Jin,Comeback"
"87,120,18,7,Wednesday,17,Suga,Regular Update"
"88,95,12,4,Thursday,10,J-Hope,Live Stream"
"89,125,19,9,Friday,15,Jimin,Comeback"
"90,70,6,2,Saturday,11,V,Regular Update"
"91,140,22,10,Sunday,18,Jungkook,Live Stream"
"92,115,14,5,Monday,14,RM,Comeback"
"93,85,10,3,Tuesday,12,Jin,Regular Update"
"94,110,16,6,Wednesday,13,Suga,Live Stream"
"95,90,11,4,Thursday,15,J-Hope,Comeback"
"96,130,20,9,Friday,17,Jimin,Regular Update"
"97,75,8,2,Saturday,10,V,Live Stream"
"98,140,22,10,Sunday,18,Jungkook,Comeback"
"99,100,12,5,Monday,16,RM,Regular Update"
"100,85,9,3,Tuesday,14,Jin,Comeback"
